NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                      MESSAGE
kube-system                   30m         Normal    ScalingReplicaSet                        deployment/kube-dns                                         Scaled up replica set kube-dns-7ddbc8bb55 from 0 to 1
kube-system                   30m         Warning   FailedCreate                             replicaset/kube-dns-7ddbc8bb55                              Error creating: insufficient quota to match these scopes: [{PriorityClass In [system-node-critical system-cluster-critical]}]
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/kube-dns-7ddbc8bb55                              Created pod: kube-dns-7ddbc8bb55-mh9vz
gke-managed-cim               29m         Warning   FailedCreate                             statefulset/kube-state-metrics                              Create Pod kube-state-metrics-0 in StatefulSet kube-state-metrics failed error: pods "kube-state-metrics-0" is forbidden: error looking up service account gke-managed-cim/kube-state-metrics: serviceaccount "kube-state-metrics" not found
default                       29m         Warning   NodeRegistrationCheckerStart             node/gke-dencer-play-default-pool-846d4868-sbb6             Sat Aug 15 16:04:47 UTC 2026 - ** Starting Node Registration Checker **
default                       29m         Warning   NodeSysctlChange                         node/gke-dencer-play-default-pool-846d4868-sbb6             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       29m         Warning   ContainerdStart                          node/gke-dencer-play-default-pool-846d4868-sbb6             Starting containerd.service...
default                       29m         Warning   DockerStart                              node/gke-dencer-play-default-pool-846d4868-sbb6             Starting docker.service...
default                       29m         Warning   KubeletStart                             node/gke-dencer-play-default-pool-846d4868-sbb6             Started kubelet.service.
default                       29m         Warning   NodeRegistrationCheckerStart             node/gke-dencer-play-default-pool-846d4868-tst6             Sat Aug 15 16:04:46 UTC 2026 - ** Starting Node Registration Checker **
default                       29m         Warning   KubeletStart                             node/gke-dencer-play-default-pool-846d4868-tst6             Started kubelet.service.
default                       29m         Warning   NodeSysctlChange                         node/gke-dencer-play-default-pool-846d4868-tst6             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       29m         Warning   ContainerdStart                          node/gke-dencer-play-default-pool-846d4868-tst6             Starting containerd.service...
default                       29m         Warning   DockerStart                              node/gke-dencer-play-default-pool-846d4868-tst6             Starting docker.service...
default                       29m         Warning   ReadOnlyFileSystemDetected               node/gke-dencer-play-default-pool-846d4868-sbb6             
default                       29m         Warning   ReadOnlyFileSystemDetected               node/gke-dencer-play-default-pool-846d4868-tst6             
kube-system                   29m         Normal    LeaderElection                           lease/clustermetrics                                        gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/event-exporter-gke-7c667c5978                    Created pod: event-exporter-gke-7c667c5978-z7t29
kube-system                   29m         Normal    ScalingReplicaSet                        deployment/event-exporter-gke                               Scaled up replica set event-exporter-gke-7c667c5978 from 0 to 1
kube-system                   29m         Normal    LeaderElection                           lease/gke-common-webhook-lock                               gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_5f50 became leader
kube-system                   29m         Normal    LeaderElection                           lease/gcp-controller-manager                                gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   29m         Normal    LeaderElection                           lease/cloud-provider-extraction-migration-pt2               gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b00b02e3-d9e5-46d7-8fad-d7d6cbb867da became leader
kube-system                   29m         Normal    LeaderElection                           lease/cloud-controller-manager                              gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b00b02e3-d9e5-46d7-8fad-d7d6cbb867da became leader
kube-system                   29m         Normal    LeaderElection                           lease/cluster-autoscaler                                    gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
gke-managed-volumepopulator   29m         Normal    LeaderElection                           lease/gke-volume-populator-leader                           gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   29m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent                               Scaled up replica set konnectivity-agent-7f74769845 from 0 to 1
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/konnectivity-agent-7f74769845                    Created pod: konnectivity-agent-7f74769845-6bqpc
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/konnectivity-agent-autoscaler-69d8bfcd9b         Created pod: konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt
kube-system                   29m         Normal    ScalingReplicaSet                        deployment/konnectivity-agent-autoscaler                    Scaled up replica set konnectivity-agent-autoscaler-69d8bfcd9b from 0 to 1
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/kube-dns-autoscaler-7dc78dc96                    Created pod: kube-dns-autoscaler-7dc78dc96-628l8
kube-system                   29m         Normal    ScalingReplicaSet                        deployment/kube-dns-autoscaler                              Scaled up replica set kube-dns-autoscaler-7dc78dc96 from 0 to 1
kube-system                   29m         Normal    LeaderElection                           lease/cluster-kubestore                                     gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   29m         Normal    SuccessfulCreate                         replicaset/l7-default-backend-7d8d77ff56                    Created pod: l7-default-backend-7d8d77ff56-m94pq
kube-system                   29m         Normal    ScalingReplicaSet                        deployment/l7-default-backend                               Scaled up replica set l7-default-backend-7d8d77ff56 from 0 to 1
kube-system                   29m         Normal    LeaderElection                           lease/l4-lb-controller-gce-lock                             gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_521df became leader
kube-system                   29m         Normal    LeaderElection                           lease/maintenance-controller                                gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b62a3a39-36fc-4203-98e3-fedc16d67f6d became leader
kube-system                   29m         Normal    LeaderElection                           lease/ingress-gce-neg-lock                                  gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_aedda became leader
kube-system                   29m         Normal    LeaderElection                           lease/ingress-gce-lock                                      gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_a4f3d became leader
gmp-system                    29m         Normal    SuccessfulCreate                         replicaset/gmp-operator-6f7b667cbb                          Created pod: gmp-operator-6f7b667cbb-5vrpx
gmp-system                    29m         Normal    ScalingReplicaSet                        deployment/gmp-operator                                     Scaled up replica set gmp-operator-6f7b667cbb from 0 to 1
gmp-system                    29m         Normal    ScalingReplicaSet                        deployment/rule-evaluator                                   Scaled up replica set rule-evaluator-84654c44f6 from 0 to 1
gmp-system                    29m         Normal    SuccessfulCreate                         replicaset/rule-evaluator-84654c44f6                        Created pod: rule-evaluator-84654c44f6-nl7l5
gmp-system                    29m         Normal    SuccessfulCreate                         statefulset/alertmanager                                    Create Pod alertmanager-0 in StatefulSet alertmanager successful
kube-system                   28m         Warning   FailedScheduling                         pod/event-exporter-gke-7c667c5978-z7t29                     no nodes available to schedule pods
kube-system                   28m         Warning   FailedScheduling                         pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          no nodes available to schedule pods
kube-system                   28m         Warning   FailedScheduling                         pod/kube-dns-7ddbc8bb55-mh9vz                               no nodes available to schedule pods
kube-system                   28m         Normal    ScalingReplicaSet                        deployment/metrics-server-v1.35.1                           Scaled up replica set metrics-server-v1.35.1-77d8df7694 from 0 to 1
kube-system                   28m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-7dc78dc96-628l8                     no nodes available to schedule pods
kube-system                   28m         Warning   FailedCreate                             replicaset/metrics-server-v1.35.1-77d8df7694                Error creating: pods "metrics-server-v1.35.1-77d8df7694-" is forbidden: error looking up service account kube-system/metrics-server: serviceaccount "metrics-server" not found
gmp-system                    28m         Warning   FailedScheduling                         pod/rule-evaluator-84654c44f6-nl7l5                         no nodes available to schedule pods
kube-system                   28m         Normal    LeaderElection                           lease/addon-resizer                                         gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   28m         Normal    SuccessfulCreate                         replicaset/metrics-server-v1.35.1-77d8df7694                Created pod: metrics-server-v1.35.1-77d8df7694-qgkj2
gmp-system                    28m         Warning   FailedScheduling                         pod/gmp-operator-6f7b667cbb-5vrpx                           no nodes available to schedule pods
kube-system                   28m         Normal    SuccessfulCreate                         replicaset/metrics-server-v1.35.1-868d466bb6                Created pod: metrics-server-v1.35.1-868d466bb6-87wrc
