NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                      MESSAGE
default                       3m54s       Warning   NodeRegistrationCheckerStart   node/gke-dencer-play-default-pool-846d4868-sbb6             Sat Aug 15 16:04:47 UTC 2026 - ** Starting Node Registration Checker **
default                       3m53s       Warning   DockerStart                    node/gke-dencer-play-default-pool-846d4868-sbb6             Starting docker.service...
default                       3m53s       Warning   ContainerdStart                node/gke-dencer-play-default-pool-846d4868-sbb6             Starting containerd.service...
default                       3m53s       Warning   NodeSysctlChange               node/gke-dencer-play-default-pool-846d4868-sbb6             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       3m53s       Warning   KubeletStart                   node/gke-dencer-play-default-pool-846d4868-sbb6             Started kubelet.service.
default                       3m52s       Warning   NodeRegistrationCheckerStart   node/gke-dencer-play-default-pool-846d4868-tst6             Sat Aug 15 16:04:46 UTC 2026 - ** Starting Node Registration Checker **
default                       3m51s       Warning   KubeletStart                   node/gke-dencer-play-default-pool-846d4868-tst6             Started kubelet.service.
default                       3m51s       Warning   ContainerdStart                node/gke-dencer-play-default-pool-846d4868-tst6             Starting containerd.service...
default                       3m51s       Warning   DockerStart                    node/gke-dencer-play-default-pool-846d4868-tst6             Starting docker.service...
default                       3m51s       Warning   NodeSysctlChange               node/gke-dencer-play-default-pool-846d4868-tst6             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
default                       3m50s       Warning   ReadOnlyFileSystemDetected     node/gke-dencer-play-default-pool-846d4868-sbb6             
default                       3m49s       Warning   ReadOnlyFileSystemDetected     node/gke-dencer-play-default-pool-846d4868-tst6             
kube-system                   3m47s       Normal    LeaderElection                 lease/clustermetrics                                        gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   3m43s       Normal    SuccessfulCreate               replicaset/event-exporter-gke-7c667c5978                    Created pod: event-exporter-gke-7c667c5978-z7t29
kube-system                   3m43s       Normal    ScalingReplicaSet              deployment/event-exporter-gke                               Scaled up replica set event-exporter-gke-7c667c5978 from 0 to 1
kube-system                   3m39s       Normal    LeaderElection                 lease/gke-common-webhook-lock                               gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_5f50 became leader
kube-system                   3m38s       Normal    LeaderElection                 lease/gcp-controller-manager                                gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   3m35s       Normal    LeaderElection                 lease/cloud-controller-manager                              gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b00b02e3-d9e5-46d7-8fad-d7d6cbb867da became leader
kube-system                   3m35s       Normal    LeaderElection                 lease/cloud-provider-extraction-migration-pt2               gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b00b02e3-d9e5-46d7-8fad-d7d6cbb867da became leader
kube-system                   3m34s       Normal    LeaderElection                 lease/cluster-autoscaler                                    gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
gke-managed-volumepopulator   3m28s       Normal    LeaderElection                 lease/gke-volume-populator-leader                           gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   3m23s       Normal    ScalingReplicaSet              deployment/konnectivity-agent                               Scaled up replica set konnectivity-agent-7f74769845 from 0 to 1
kube-system                   3m22s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-7f74769845                    Created pod: konnectivity-agent-7f74769845-6bqpc
kube-system                   3m20s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-autoscaler-69d8bfcd9b         Created pod: konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt
kube-system                   3m20s       Normal    ScalingReplicaSet              deployment/konnectivity-agent-autoscaler                    Scaled up replica set konnectivity-agent-autoscaler-69d8bfcd9b from 0 to 1
kube-system                   3m18s       Normal    ScalingReplicaSet              deployment/kube-dns-autoscaler                              Scaled up replica set kube-dns-autoscaler-7dc78dc96 from 0 to 1
kube-system                   3m18s       Normal    SuccessfulCreate               replicaset/kube-dns-autoscaler-7dc78dc96                    Created pod: kube-dns-autoscaler-7dc78dc96-628l8
kube-system                   3m16s       Normal    LeaderElection                 lease/cluster-kubestore                                     gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   3m15s       Normal    LeaderElection                 lease/l4-lb-controller-gce-lock                             gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_521df became leader
kube-system                   3m15s       Normal    SuccessfulCreate               replicaset/l7-default-backend-7d8d77ff56                    Created pod: l7-default-backend-7d8d77ff56-m94pq
kube-system                   3m15s       Normal    ScalingReplicaSet              deployment/l7-default-backend                               Scaled up replica set l7-default-backend-7d8d77ff56 from 0 to 1
kube-system                   3m14s       Normal    LeaderElection                 lease/maintenance-controller                                gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_b62a3a39-36fc-4203-98e3-fedc16d67f6d became leader
kube-system                   3m12s       Normal    LeaderElection                 lease/ingress-gce-neg-lock                                  gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_aedda became leader
kube-system                   3m10s       Normal    LeaderElection                 lease/ingress-gce-lock                                      gke-de2fa4bc43404d03b9ab-7832-8d0a-vm_a4f3d became leader
gmp-system                    3m7s        Normal    ScalingReplicaSet              deployment/rule-evaluator                                   Scaled up replica set rule-evaluator-84654c44f6 from 0 to 1
gmp-system                    3m7s        Normal    SuccessfulCreate               replicaset/rule-evaluator-84654c44f6                        Created pod: rule-evaluator-84654c44f6-nl7l5
gmp-system                    3m7s        Normal    ScalingReplicaSet              deployment/gmp-operator                                     Scaled up replica set gmp-operator-6f7b667cbb from 0 to 1
gmp-system                    3m7s        Normal    SuccessfulCreate               replicaset/gmp-operator-6f7b667cbb                          Created pod: gmp-operator-6f7b667cbb-5vrpx
gmp-system                    3m6s        Normal    SuccessfulCreate               statefulset/alertmanager                                    Create Pod alertmanager-0 in StatefulSet alertmanager successful
kube-system                   3m2s        Warning   FailedScheduling               pod/event-exporter-gke-7c667c5978-z7t29                     no nodes available to schedule pods
kube-system                   3m1s        Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          no nodes available to schedule pods
kube-system                   3m1s        Warning   FailedScheduling               pod/kube-dns-7ddbc8bb55-mh9vz                               no nodes available to schedule pods
kube-system                   3m          Normal    ScalingReplicaSet              deployment/metrics-server-v1.35.1                           Scaled up replica set metrics-server-v1.35.1-77d8df7694 from 0 to 1
kube-system                   2m59s       Warning   FailedScheduling               pod/kube-dns-autoscaler-7dc78dc96-628l8                     no nodes available to schedule pods
kube-system                   2m58s       Warning   FailedCreate                   replicaset/metrics-server-v1.35.1-77d8df7694                Error creating: pods "metrics-server-v1.35.1-77d8df7694-" is forbidden: error looking up service account kube-system/metrics-server: serviceaccount "metrics-server" not found
gmp-system                    2m57s       Warning   FailedScheduling               pod/gmp-operator-6f7b667cbb-5vrpx                           no nodes available to schedule pods
gmp-system                    2m57s       Warning   FailedScheduling               pod/rule-evaluator-84654c44f6-nl7l5                         no nodes available to schedule pods
kube-system                   2m57s       Normal    LeaderElection                 lease/addon-resizer                                         gke-de2fa4bc43404d03b9ab-7832-8d0a-vm became leader
kube-system                   2m57s       Normal    SuccessfulCreate               replicaset/metrics-server-v1.35.1-77d8df7694                Created pod: metrics-server-v1.35.1-77d8df7694-qgkj2
gmp-system                    2m56s       Warning   FailedScheduling               pod/alertmanager-0                                          no nodes available to schedule pods
kube-system                   2m56s       Normal    ScalingReplicaSet              deployment/metrics-server-v1.35.1                           Scaled up replica set metrics-server-v1.35.1-868d466bb6 from 0 to 1
kube-system                   2m56s       Warning   FailedScheduling               pod/l7-default-backend-7d8d77ff56-m94pq                     no nodes available to schedule pods
kube-system                   2m56s       Normal    SuccessfulCreate               replicaset/metrics-server-v1.35.1-868d466bb6                Created pod: metrics-server-v1.35.1-868d466bb6-87wrc
kube-system                   2m54s       Warning   FailedScheduling               pod/metrics-server-v1.35.1-868d466bb6-87wrc                 no nodes available to schedule pods
kube-system                   2m52s       Warning   FailedScheduling               pod/konnectivity-agent-7f74769845-6bqpc                     no nodes available to schedule pods
kube-system                   2m52s       Warning   FailedScheduling               pod/metrics-server-v1.35.1-77d8df7694-qgkj2                 no nodes available to schedule pods
gmp-system                    2m52s       Normal    SuccessfulCreate               daemonset/collector                                         Created pod: collector-6x82c
gke-managed-cim               2m52s       Warning   FailedScheduling               pod/kube-state-metrics-0                                    no nodes available to schedule pods
gmp-system                    2m51s       Warning   NetworkNotReady                pod/collector-hxrzl                                         network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
kube-system                   2m51s       Warning   FailedScheduling               pod/metrics-server-v1.35.1-868d466bb6-87wrc                 0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
kube-system                   2m51s       Warning   FailedScheduling               pod/event-exporter-gke-7c667c5978-z7t29                     0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
kube-system                   2m51s       Normal    Scheduled                      pod/gke-metrics-agent-kzwbc                                 Successfully assigned kube-system/gke-metrics-agent-kzwbc to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m51s       Normal    SuccessfulCreate               daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-4xssv
kube-system                   2m51s       Normal    SuccessfulCreate               daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-kzwbc
gmp-system                    2m51s       Normal    Scheduled                      pod/collector-hxrzl                                         Successfully assigned gmp-system/collector-hxrzl to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m51s       Normal    Scheduled                      pod/fluentbit-gke-gv2zf                                     Successfully assigned kube-system/fluentbit-gke-gv2zf to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   2m51s       Normal    Scheduled                      pod/fluentbit-gke-vvf2z                                     Successfully assigned kube-system/fluentbit-gke-vvf2z to gke-dencer-play-default-pool-846d4868-r3pj
gmp-system                    2m51s       Normal    SuccessfulCreate               daemonset/collector                                         Created pod: collector-hxrzl
kube-system                   2m51s       Normal    SuccessfulCreate               daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-vvf2z
gmp-system                    2m51s       Normal    Scheduled                      pod/collector-6x82c                                         Successfully assigned gmp-system/collector-6x82c to gke-dencer-play-default-pool-846d4868-r3pj
kube-system                   2m51s       Normal    SuccessfulCreate               daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-gv2zf
kube-system                   2m51s       Normal    Scheduled                      pod/gke-metrics-agent-4xssv                                 Successfully assigned kube-system/gke-metrics-agent-4xssv to gke-dencer-play-default-pool-846d4868-r3pj
kube-system                   2m50s       Warning   FailedScheduling               pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
default                       2m50s       Normal    Synced                         node/gke-dencer-play-default-pool-846d4868-t20r             Node synced successfully
kube-system                   2m50s       Normal    Created                        pod/gke-metrics-agent-kzwbc                                 Container created
kube-system                   2m50s       Normal    Pulled                         pod/gke-metrics-agent-kzwbc                                 Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 453ms (453ms including waiting). Image size: 2929568 bytes.
kube-system                   2m50s       Normal    Pulling                        pod/gke-metrics-agent-kzwbc                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   2m50s       Warning   FailedScheduling               pod/kube-dns-7ddbc8bb55-mh9vz                               0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
gmp-system                    2m50s       Warning   FailedMount                    pod/collector-hxrzl                                         MountVolume.SetUp failed for volume "kube-api-access-hlqcf" : object "gmp-system"/"kube-root-ca.crt" not registered
kube-system                   2m50s       Normal    Created                        pod/fluentbit-gke-gv2zf                                     Container created
default                       2m50s       Normal    Synced                         node/gke-dencer-play-default-pool-846d4868-r3pj             Node synced successfully
kube-system                   2m50s       Normal    Pulled                         pod/fluentbit-gke-gv2zf                                     Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 456ms (456ms including waiting). Image size: 2927935 bytes.
kube-system                   2m50s       Normal    Pulling                        pod/fluentbit-gke-gv2zf                                     Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system                   2m49s       Normal    Scheduled                      pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          Successfully assigned kube-system/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt to gke-dencer-play-default-pool-846d4868-t20r
gmp-system                    2m49s       Normal    SuccessfulCreate               daemonset/collector                                         Created pod: collector-8b7jt
kube-system                   2m49s       Normal    Scheduled                      pod/gke-metrics-agent-dgzsg                                 Successfully assigned kube-system/gke-metrics-agent-dgzsg to gke-dencer-play-default-pool-846d4868-sbb6
gmp-system                    2m49s       Warning   FailedMount                    pod/collector-hxrzl                                         MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
